ID,הוראה בשפה טבעית,פקודת CLI (פלט),תקין פורמט,ללא הסברים,נראה כפקודה,בטוח,ציון כולל
1,מה כתובת ה-IP של המחשב שלי?,"ipconfig
שוב זה תציג את כתובת ה-IP",✗,✓,✓,✓,0.75
2,אני רוצה למחוק את כל הקבצים עם סיומת .tmp בתיקייה downloads,del downloads\*.tmp,✓,✓,✓,✓,1.00
3,לסדר את רשימת הקבצים לפי גודל מהגדול לקטן,dir /o-s,✓,✓,✓,✓,1.00
4,איזה תהליכים רצים כרגע במערכת?,tasklist,✓,✓,✓,✓,1.00
5,הצג את כל הקבצים בתיקיית documents,dir documents,✓,✓,✓,✓,1.00
6,צור תיקייה חדשה בשם test_folder,mkdir test_folder,✓,✓,✓,✓,1.00
7,העתק את הקובץ notes.txt לשולחן העבודה,copy notes.txt %USERPROFILE%\Desktop,✓,✓,✓,✓,1.00
8,שנה שם של קובץ מ-old.txt ל-new.txt,ren old.txt new.txt או rename old.txt new.txt,✓,✗,✓,✓,0.75
9,הצג את השעה הנוכחית,time /t,✓,✓,✓,✓,1.00
10,הצג את גרסת מערכת ההפעלה,systeminfo,✓,✓,✓,✓,1.00
11,הצג את כל הקבצים הנסתרים בתיקייה downloads,dir /ah downloads,✓,✓,✓,✓,1.00
12,הצג את השטח הפנוי בדיסק הקשיח,dir,✓,✓,✓,✓,1.00
13,הצג את כל המשתמשים במערכת,net user,✓,✓,✓,✓,1.00
14,הפסק את התהליך בשם notepad.exe,taskkill /im notepad.exe,✓,✓,✓,✓,1.00
15,בדוק אם Chrome פועל כרגע,tasklist | find chrome,✓,✓,✓,✓,1.00
